geo_admin_0_iso_2,geo_name,country
SS,Abyei Region,Kenya
SS,Juba,Kenya
SS,Kajo-keji,Kenya
SS,Lainya,Kenya
SS,Morobo,Kenya
SS,Terekeka,Kenya
SS,Yei,Kenya
SS,Budi,Kenya
SS,Ikotos,Kenya
SS,Kapoeta East,Kenya
SS,Kapoeta North,Kenya
SS,Kapoeta South,Kenya
SS,Lafon,Kenya
SS,Magwi,Kenya
SS,Torit,Kenya
SS,Akobo,Kenya
SS,Ayod,Kenya
SS,Bor South,Kenya
SS,Canal/Pigi,Kenya
SS,Duk,Kenya
SS,Fangak,Kenya
SS,Nyirol,Kenya
SS,Pibor,Kenya
SS,Pochalla,Kenya
SS,Twic East,Kenya
SS,Uror,Kenya
SS,Awerial,Kenya
SS,Cueibet,Kenya
SS,Rumbek Centre,Kenya
SS,Rumbek East,Kenya
SS,Rumbek North,Kenya
SS,Wulu,Kenya
SS,Yirol East,Kenya
SS,Yirol West,Kenya
SS,Aweil Centre,Kenya
SS,Aweil East,Kenya
SS,Aweil North,Kenya
SS,Aweil South,Kenya
SS,Aweil West,Kenya
SS,Abiemnhom,Kenya
SS,Guit,Kenya
SS,Koch,Kenya
SS,Leer,Kenya
SS,Mayendit,Kenya
SS,Mayom,Kenya
SS,Panyijiar,Kenya
SS,Pariang,Kenya
SS,Rubkona,Kenya
SS,Baliet,Kenya
SS,Fashoda,Kenya
SS,Longochuk,Kenya
SS,Luakpiny/Nasir,Kenya
SS,Maban,Kenya
SS,Maiwut,Kenya
SS,Malakal,Kenya
SS,Manyo,Kenya
SS,Melut,Kenya
SS,Panyikang,Kenya
SS,Renk,Kenya
SS,Ulang,Kenya
SS,Gogrial East,Kenya
SS,Gogrial West,Kenya
SS,Tonj East,Kenya
SS,Tonj North,Kenya
SS,Tonj South,Kenya
SS,Twic,Kenya
SS,Jur River,Kenya
SS,Raja,Kenya
SS,Wau,Kenya
SS,Ezo,Kenya
SS,Ibba,Kenya
SS,Maridi,Kenya
SS,Mundri East,Kenya
SS,Mundri West,Kenya
SS,Mvolo,Kenya
SS,Nagero,Kenya
SS,Nzara,Kenya
SS,Tambura,Kenya
SS,Yambio,Kenya
SS,Returnees,Kenya
SS,Akoka,Kenya
